"organism_group","strain","collection_date","serovar","isolate","location","isolation_source","isolation_type","snp_cluster","min_same","min_diff","amr_genotypes","antigen_formula","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","resist_sim","blaEC.COMPLETE","acrF.COMPLETE","mdtM.COMPLETE","sul2.COMPLETE","blaOXA.193.COMPLETE","X50S_L22_A103V.POINT","gyrA_T86I.POINT","blaOXA.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..O...COMPLETE","aph..3....IIIa.COMPLETE","meropenem","ciprofloxacin","tetracycline","ampicillin","gentamicin","erythromycin","azithromycin","clindamycin","nalidixic acid"
"E.coli and Shigella","CVM N17EC1118",2017,NA,"PDT000394992.1","USA:PA","pork chops bone-in","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,blaTEM=MISTRANSLATION,mdtM=COMPLETE,tet(B)=COMPLETE,tet(M)=PARTIAL_END_OF_CONTIG",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1130",2017,NA,"PDT000394993.1","USA:SC","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(C)=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1128",2017,NA,"PDT000394994.1","USA:SC","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC1126",2017,NA,"PDT000394995.1","USA:PA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC1124",2017,NA,"PDT000394996.1","USA:PA","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC1134",2017,NA,"PDT000394998.1","USA:SC","chicken legs","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1131",2017,NA,"PDT000394999.1","USA:SC","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaEC=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1104",2017,NA,"PDT000395000.1","USA:OR","pork chops bone-in","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1312",2017,NA,"PDT000395001.1","USA:PA","chicken breasts","environmental/other",NA,NA,NA,"blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0298",2017,NA,"PDT000395004.1","USA:OR","chicken thighs","environmental/other",NA,NA,NA,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,dfrA1=COMPLETE,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
"E.coli and Shigella","CVM N17EC0360",2017,NA,"PDT000395005.1","USA:PA","ground turkey","environmental/other",NA,NA,NA,"aac(3)-IId=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1
"E.coli and Shigella","CVM N17EC0294",2017,NA,"PDT000395006.1","USA:OR","ground beef","environmental/other",NA,NA,NA,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0290",2017,NA,"PDT000395008.1","USA:OR","ground turkey","environmental/other",NA,NA,NA,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaHER-3=COMPLETE,blaHER=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1
"E.coli and Shigella","CVM N17EC0288",2017,NA,"PDT000395009.1","USA:OR","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0542",2017,NA,"PDT000395011.1","USA:TX","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0544",2017,NA,"PDT000395012.1","USA:TX","ground turkey","environmental/other",NA,NA,NA,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,acrF=PARTIAL,blaEC=COMPLETE,blaHER-3=COMPLETE,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1
"E.coli and Shigella","CVM N17EC0540",2017,NA,"PDT000395014.1","USA:TX","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0534",2017,NA,"PDT000395015.1","USA:TX","chicken breasts","environmental/other",NA,NA,NA,"acrF=PARTIAL,blaEC=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,cyaA_S352T=POINT,mdtM=COMPLETE,parC_S57T=POINT,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0536",2017,NA,"PDT000395016.1","USA:TX","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0526",2017,NA,"PDT000395017.1","USA:TN","beef patties","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0530",2017,NA,"PDT000395018.1","USA:TN","chicken thighs","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0804",2017,NA,"PDT000395019.1","USA:OR","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0788",2017,NA,"PDT000395021.1","USA:OR","ground turkey","environmental/other",NA,NA,NA,"aac(3)-IV=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1
"E.coli and Shigella","CVM N17EC0786",2017,NA,"PDT000395022.1","USA:OR","chicken thighs","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0792",2017,NA,"PDT000395023.1","USA:OR","pork chops bone-in","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0790",2017,NA,"PDT000395024.1","USA:OR","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0794",2017,NA,"PDT000395026.1","USA:OR","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0798",2017,NA,"PDT000395028.1","USA:OR","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,floR=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,tet(A)=PARTIAL_END_OF_CONTIG",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0570",2017,NA,"PDT000395029.1","USA:TX","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0192",2017,NA,"PDT000395033.1","USA:IA","mixed parts","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,tet(A)=COMPLETE,tet(A)=MISTRANSLATION",NA,NA,NA,"USA","other/unspecified",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0194",2017,NA,"PDT000395034.1","USA:IA","chicken wings","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,cyaA_S352T=POINT,mdtM=COMPLETE,parC_S57T=POINT,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0196",2017,NA,"PDT000395035.1","USA:IA","chicken legs","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0184",2017,NA,"PDT000395037.1","USA:IA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0186",2017,NA,"PDT000395038.1","USA:IA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0188",2017,NA,"PDT000395039.1","USA:IA","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0190",2017,NA,"PDT000395040.1","USA:IA","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0970",2017,NA,"PDT000395041.1","USA:GA","pork chops bone-in","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=PARTIAL,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0972",2017,NA,"PDT000395042.1","USA:GA","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,emrD=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0954",2017,NA,"PDT000395043.1","USA:GA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0956",2017,NA,"PDT000395044.1","USA:GA","pork chops bone-in","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,emrD=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0958",2017,NA,"PDT000395045.1","USA:GA","pork chops bone-in","environmental/other",NA,NA,NA,"aadA1=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,parC_A56T=POINT,sat2=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0960",2017,NA,"PDT000395046.1","USA:GA","chicken breasts","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0964",2017,NA,"PDT000395048.1","USA:GA","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0966",2017,NA,"PDT000395049.1","USA:GA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,fosA7.5=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0968",2017,NA,"PDT000395050.1","USA:GA","pork chops bone-in","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1272",2017,NA,"PDT000395051.1","USA:KS","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC1270",2017,NA,"PDT000395052.1","USA:KS","chicken thighs","environmental/other",NA,NA,NA,"aac(3)-IId=COMPLETE,acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,ptsI_V25I=POINT,uhpT_E350Q=POINT",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1
"E.coli and Shigella","CVM N17EC1258",2017,NA,"PDT000395054.1","USA:IA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(C)=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1256",2017,NA,"PDT000395055.1","USA:IA","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,blaHER-3=COMPLETE,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1266",2017,NA,"PDT000395058.1","USA:IA","ground turkey","environmental/other",NA,NA,NA,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1
"E.coli and Shigella","CVM N17EC1264",2017,NA,"PDT000395059.1","USA:IA","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0144",2017,NA,"PDT000395062.1","USA:IA","chicken legs","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0722",2017,NA,"PDT000395063.1","USA:IA","whole - cut in lab","environmental/other",NA,NA,NA,"aadA15=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,acrF=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,cmlA1=PARTIAL_END_OF_CONTIG,cyaA_S352T=POINT,dfrA5=COMPLETE,emrD=COMPLETE,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=PARTIAL_END_OF_CONTIG,tet(B)=COMPLETE",NA,NA,NA,"USA","other/unspecified",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1396",2017,NA,"PDT000395064.1","USA:MD","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1398",2017,NA,"PDT000395065.1","USA:MD","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1400",2017,NA,"PDT000395066.1","USA:MD","pork chops","environmental/other",NA,NA,NA,"acrF=PARTIAL_END_OF_CONTIG,blaEC=PARTIAL,blaEC=PARTIAL_END_OF_CONTIG,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC1388",2017,NA,"PDT000395068.1","USA:MD","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC1392",2017,NA,"PDT000395070.1","USA:MD","chicken legs","environmental/other",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",NA,NA,NA,"USA","chicken",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","CVM N17EC1404",2017,NA,"PDT000395072.1","USA:PA","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC1407",2017,NA,"PDT000395073.1","USA:PA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0718",2017,NA,"PDT000395075.1","USA:IA","pork chops bone-in","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0452",2017,NA,"PDT000395078.1","USA:SD","ground turkey","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0448",2017,NA,"PDT000395080.1","USA:SD","ground turkey","environmental/other",NA,NA,NA,"acrF=PARTIAL,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"USA","turkey",NA,"Other",NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
"E.coli and Shigella","CVM N17EC0460",2017,NA,"PDT000395082.1","USA:SD","pork chops","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","pork",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0454",2017,NA,"PDT000395083.1","USA:SD","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
"E.coli and Shigella","CVM N17EC0716",2017,NA,"PDT000395085.1","USA:IA","ground beef","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,NA,"USA","beef",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
