#Organism group,Strain,Source type,Collection date,Host disease,Outbreak,Host,Isolate identifiers,Serovar,Isolate,Create date,AST phenotypes,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Campylobacter jejuni","FSIS1605875",,"2016",,,,"""FSIS1605875"",""SRS1320191""",,"PDT000111619.2","2016-03-02T23:25:49Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:TX","animal-cattle-steer","environmental/other","PDS000103331.4",15,15,"SAMN04528883","GCA_005286425.1","blaOXA-193=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606096",,"2016",,,,"""FSIS1606096"",""SRS1362952""",,"PDT000121594.2","2016-03-25T23:09:35Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:KS","animal-cattle-heifer","environmental/other","PDS000103331.4",3,3,"SAMN04580867","GCA_005287005.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606534",,"2016",,,,"""FSIS1606534"",""SRS1446056""",,"PDT000131059.2","2016-05-19T02:15:10Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:TN","animal-cattle-dairy cow","environmental/other","PDS000103331.4",0,13,"SAMN05013880","GCA_005290525.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606795",,"2016",,,,"""FSIS1606795"",""SRS1503962""",,"PDT000134409.2","2016-06-14T21:19:41Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:NE","animal-cattle-steer","environmental/other","PDS000103331.4",8,8,"SAMN05245212","GCA_005293325.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,blaOXA=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1607231",,"2016",,,,"""FSIS1607231"",""SRS1609250""",,"PDT000144071.2","2016-08-10T23:16:34Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:PA","animal-cattle-dairy cow","environmental/other","PDS000103331.4",4,5,"SAMN05558639","GCA_005297545.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C545",,"2016",,,,"""CVM N16C545"",""SRS2547985""",,"PDT000245357.2","2017-09-28T02:47:07Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:GA","Chicken Wings","environmental/other","PDS000021609.60",1,3,"SAMN07633850","GCA_005012155.1","50S_L22_A103V=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C010",,"2017",,,,"""CVM N17C010"",""SRS3530513""",,"PDT000345521.1","2018-07-12T09:59:24Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:CA","Chicken Wings","environmental/other","PDS000021609.60",3,19,"SAMN09604896","GCA_005329885.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N17C250",,"2017",,,,"""CVM N17C250"",""SRS3530395""",,"PDT000345637.1","2018-07-12T09:59:42Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:WA","Chicken Wings","environmental/other","PDS000021609.60",0,16,"SAMN09605109","GCA_005331905.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N17C429",,"2017",,,,"""CVM N17C429"",""SRS3673293""",,"PDT000363260.1","2018-08-15T19:43:00Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:SC","Mixed Parts","environmental/other","PDS000021609.60",16,16,"SAMN09783185","GCA_005360245.1","50S_L22_A103V=POINT,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C454",,"2017",,,,"""CVM N17C454"",""SRS3673165""",,"PDT000363391.1","2018-08-15T19:43:21Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:WA","Chicken Thighs","environmental/other","PDS000021609.60",2,18,"SAMN09783208","GCA_005362365.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N17C457",,"2017",,,,"""CVM N17C457"",""SRS3673164""",,"PDT000363392.1","2018-08-15T19:43:21Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:WA","Chicken Thighs","environmental/other","PDS000021609.60",0,16,"SAMN09783211","GCA_005362385.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N17C411",,"2017",,,,"""CVM N17C411"",""SRS3673145""",,"PDT000363412.1","2018-08-15T19:43:25Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:OR","chicken breast","environmental/other","PDS000021609.60",3,22,"SAMN09783169","GCA_005363195.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N17C412",,"2017",,,,"""CVM N17C412"",""SRS3673076""",,"PDT000363481.1","2018-08-15T19:43:37Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:OR","chicken breast","environmental/other","PDS000021609.60",3,21,"SAMN09783170","GCA_005363905.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N18C147",,"2018",,,,"""CVM N18C147"",""SRS4433357""",,"PDT000473023.1","2019-03-04T15:39:45Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NC","chicken breast","environmental/other","PDS000021609.60",2,11,"SAMN11047686","GCA_004876205.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","19WA03CB38-C1",,"2019",,,,"""19WA03CB38-C1"",""SRS4718889""",,"PDT000497727.1","2019-05-03T22:49:59Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:WA","Chicken Wings","environmental/other","PDS000021609.60",6,22,"SAMN11569417","GCA_005271235.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N18C259",,"2018",,,,"""CVM N18C259"",""SRS4953295""",,"PDT000521739.1","2019-06-12T22:51:18Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:GA","Chicken Breasts","environmental/other","PDS000021609.60",14,15,"SAMN12035601","GCA_006358295.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","19TN09CB20K-C1",,"2019-09-20",,,,"""19TN09CB20K-C1"",""SRS5500926""",,"PDT000604205.1","2019-10-10T17:31:38Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=R","USA:TN","chicken","environmental/other","PDS000021609.60",9,10,"SAMN13012113","GCA_009004395.1","50S_L22_A103V=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C486",,"2016",,,,"""CVM N16C486"",""SRS2547926""",,"PDT000245298.2","2017-09-28T02:46:51Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MN","chicken breast","environmental/other","PDS000021652.85",2,16,"SAMN07633791","GCA_004976425.1","50S_L22_A103V=POINT,blaOXA-193=COMPLETE",
"Campylobacter jejuni","CVM N16C037",,"2016",,,,"""CVM N16C037"",""SRS2547489""",,"PDT000244820.2","2017-09-28T00:49:18Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:LA","chicken breast","environmental/other","PDS000021482.68",4,2,"SAMN07633353","GCA_005010195.1",,
"Campylobacter jejuni","CVM N16C161",,"2016",,,,"""CVM N16C161"",""SRS2547612""",,"PDT000244942.2","2017-09-28T00:49:40Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:GA","Chicken Wings","environmental/other","PDS000021482.68",4,2,"SAMN07633476","GCA_005196275.1",,
"Campylobacter jejuni","CVM N16C222",,"2016",,,,"""CVM N16C222"",""SRS2547671""",,"PDT000244983.2","2017-09-28T00:49:47Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:LA","Chicken Legs","environmental/other","PDS000021482.68",0,4,"SAMN07633537","GCA_004972945.1",,
"Campylobacter jejuni","CVM N16C266",,"2016",,,,"""CVM N16C266"",""SRS2547713""",,"PDT000245087.2","2017-09-28T02:45:50Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MO","Chicken Thighs","environmental/other","PDS000021482.68",0,4,"SAMN07633580","GCA_005150845.1",,
"Campylobacter jejuni","CVM N16C267",,"2016",,,,"""CVM N16C267"",""SRS2547714""",,"PDT000245088.2","2017-09-28T02:45:51Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MO","chicken breast","environmental/other","PDS000021482.68",4,4,"SAMN07633581","GCA_004975545.1",,
"Campylobacter jejuni","CVM N16C472",,"2016",,,,"""CVM N16C472"",""SRS2547909""",,"PDT000245284.2","2017-09-28T02:46:47Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:LA","Chicken Legs","environmental/other","PDS000021482.68",1,6,"SAMN07633777","GCA_004976365.1",,
"Campylobacter jejuni","CVM N17C502",,"2017",,,,"""CVM N17C502"",""SRS3530512""",,"PDT000345520.1","2018-07-12T09:59:24Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:LA","Chicken Wings","environmental/other","PDS000021482.68",5,6,"SAMN09605232","GCA_005329905.1",,
"Campylobacter jejuni","CVM N17C129",,"2017",,,,"""CVM N17C129"",""SRS3530472""",,"PDT000345558.1","2018-07-12T09:59:30Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MO","Chicken Thighs","environmental/other","PDS000021482.68",3,4,"SAMN09605003","GCA_005330345.1",,
"Campylobacter jejuni","CVM N17C091",,"2017",,,,"""CVM N17C091"",""SRS3530414""",,"PDT000345613.1","2018-07-12T09:59:38Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:LA","chicken breast","environmental/other","PDS000021482.68",1,7,"SAMN09604974","GCA_005331285.1",,
"Campylobacter jejuni","CVM N17C477",,"2017",,,,"""CVM N17C477"",""SRS3530799""",,"PDT000345712.1","2018-07-12T11:59:31Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:IA","Chicken Thighs","environmental/other","PDS000021482.68",1,11,"SAMN09605208","GCA_005333445.1",,
"Campylobacter jejuni","CVM N17C055",,"2017",,,,"""CVM N17C055"",""SRS3530757""",,"PDT000345752.1","2018-07-12T11:59:38Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:IA","Chicken Thighs","environmental/other","PDS000021482.68",3,5,"SAMN09604938","GCA_005333965.1",,
"Campylobacter jejuni","CVM N17C740",,"2017",,,,"""CVM N17C740"",""SRS3673374""",,"PDT000363184.1","2018-08-15T19:42:47Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NM","Chicken Thighs","environmental/other","PDS000021482.68",4,5,"SAMN09783322","GCA_005358165.1",,
"Campylobacter jejuni","CVM N17C364",,"2017",,,,"""CVM N17C364"",""SRS3673323""",,"PDT000363231.1","2018-08-15T19:42:55Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MO","Chicken Thighs","environmental/other","PDS000021482.68",3,9,"SAMN09783122","GCA_005358785.1",,
"Campylobacter jejuni","CVM N17C387",,"2017",,,,"""CVM N17C387"",""SRS3673243""",,"PDT000363312.1","2018-08-15T19:43:08Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NM","Chicken Legs","environmental/other","PDS000021482.68",6,8,"SAMN09783145","GCA_005360765.1",,
"Campylobacter jejuni","CVM N17C445",,"2017",,,,"""CVM N17C445"",""SRS3673210""",,"PDT000363346.1","2018-08-15T19:43:14Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:TX","chicken breast","environmental/other","PDS000021482.68",3,11,"SAMN09783199","GCA_005360985.1",,
"Campylobacter jejuni","CVM N17C391",,"2017",,,,"""CVM N17C391"",""SRS3673181""",,"PDT000363375.1","2018-08-15T19:43:19Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NM","Chicken Thighs","environmental/other","PDS000021482.68",1,11,"SAMN09783149","GCA_005361605.1",,
"Campylobacter jejuni","CVM N17C390",,"2017",,,,"""CVM N17C390"",""SRS3673179""",,"PDT000363376.1","2018-08-15T19:43:19Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NM","Chicken Thighs","environmental/other","PDS000021482.68",1,10,"SAMN09783148","GCA_005361445.1",,
"Campylobacter jejuni","CVM N18C170",,"2018",,,,"""CVM N18C170"",""SRS4433378""",,"PDT000473002.1","2019-03-04T15:39:41Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:KS","Chicken Thighs","environmental/other","PDS000021482.68",4,5,"SAMN11047705","GCA_004876505.1",,
"Campylobacter jejuni","CVM N18C322",,"2018",,,,"""CVM N18C322"",""SRS4433512""",,"PDT000473079.1","2019-03-04T15:39:53Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:KS","Chicken Thighs","environmental/other","PDS000021482.68",3,3,"SAMN11047842","GCA_004877545.1",,
"Campylobacter jejuni","CVM N18C112",,"2018",,,,"""CVM N18C112"",""SRS4434136""",,"PDT000473364.1","2019-03-04T19:12:06Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NM","Chicken Thighs","environmental/other","PDS000021482.68",3,10,"SAMN11047651","GCA_004881505.1",,
"Campylobacter jejuni","CVM N18C020",,"2018",,,,"""CVM N18C020"",""SRS4434072""",,"PDT000473428.1","2019-03-04T19:12:16Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NM","Chicken Thighs","environmental/other","PDS000021482.68",7,13,"SAMN11047568","GCA_004883245.1",,
"Campylobacter jejuni","CVM N18C540",,"2018",,,,"""CVM N18C540"",""SRS4953322""",,"PDT000521714.1","2019-06-12T22:51:14Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:LA","Chicken Legs","environmental/other","PDS000021482.68",8,14,"SAMN12035684","GCA_006354095.1",,
"Campylobacter jejuni","19LA02CB24C1",,"2019",,,,"""19LA02CB24C1"",""SRS4990365""",,"PDT000524360.1","2019-06-18T20:50:53Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:LA","CB-LEGS","environmental/other","PDS000021482.68",2,5,"SAMN12087881","GCA_007913705.1",,
"Campylobacter jejuni","19LA05CB06C1",,"2019",,,,"""19LA05CB06C1"",""SRS5077252""",,"PDT000540204.1","2019-07-09T15:32:48Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:LA","CB-WINGS","environmental/other","PDS000021482.68",1,8,"SAMN12236624","GCA_007460545.1",,
"Campylobacter jejuni","19NM06CB14-C",,,,,,"""19NM06CB14-C"",""SRS5147929""",,"PDT000548735.1","2019-07-24T21:30:45Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NM","chicken","environmental/other","PDS000021482.68",6,12,"SAMN12354873","GCA_007734385.1",,
"Campylobacter jejuni","19NM07CB15-C",,"2019-07-12",,,,"""19NM07CB15-C"",""SRS5298715""",,"PDT000570248.1","2019-08-22T01:48:55Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:NM","chicken","environmental/other","PDS000021482.68",2,8,"SAMN12616974","GCA_008175345.1",,
"Campylobacter jejuni","CVM N19C172",,"2019",,,,"""CVM N19C172"",""SRS5472375""",,"PDT000599779.1","2019-10-03T20:34:44Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:KS","Chicken Thighs","environmental/other","PDS000021482.68",3,14,"SAMN12906143","GCA_008889845.1",,
"Campylobacter jejuni","19IA09CB16-C1",,"2019-09",,,,"""19IA09CB16-C1"",""CFSAN100977"",""SRS5583431""",,"PDT000619388.1","2019-10-29T00:36:22Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:IA","chicken breast","environmental/other","PDS000021482.68",2,9,"SAMN13149858","GCA_009411785.1",,
"Campylobacter jejuni","19NM09CB23-C",,"2019-09-27",,,,"""19NM09CB23-C"",""SRS5615317""",,"PDT000624901.1","2019-11-07T22:32:08Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:NM","chicken","environmental/other","PDS000021482.68",4,7,"SAMN13222692","GCA_010205465.1",,
"Campylobacter jejuni","19NM09CB29-C",,"2019-09-27",,,,"""19NM09CB29-C"",""SRS5615318""",,"PDT000624902.1","2019-11-07T22:32:08Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:NM","chicken","environmental/other","PDS000021482.68",3,1,"SAMN13222693","GCA_010208045.1",,
"Campylobacter jejuni","19MO05CB29-C1",,"2019-05-13",,,,"""19MO05CB29-C1"",""SRS5784894""",,"PDT000641966.1","2019-12-10T11:29:17Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MO","Chicken Thigh","environmental/other","PDS000021482.68",0,3,"SAMN12161923","GCA_010269355.1",,
"Campylobacter jejuni","19NM11CB23-C",,"2019-11-15",,,,"""19NM11CB23-C"",""SRS5833877""",,"PDT000646199.1","2019-12-17T13:33:06Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:NM","Chicken thighs","environmental/other","PDS000021482.68",0,9,"SAMN13607549","GCA_010215055.1",,
"Campylobacter jejuni","19KS09CB36-C1",,"2019-09-23",,,,"""19KS09CB36-C1"",""CFSAN103313"",""SRS5953719""",,"PDT000655780.1","2020-01-07T18:26:43Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:KS","chicken thigh","environmental/other","PDS000021482.68",4,13,"SAMN13747087","GCA_010218515.1",,
"Campylobacter jejuni","19KS09CB34-C1",,"2019-09-23",,,,"""19KS09CB34-C1"",""CFSAN103314"",""SRS5964671""",,"PDT000656742.1","2020-01-09T10:26:10Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:KS","chicken wing","environmental/other","PDS000021482.68",1,4,"SAMN13781730","GCA_010217795.1",,
"Campylobacter jejuni","CVM N19C532",,"2019",,,,"""CVM N19C532"",""SRS6552259""",,"PDT000728848.2","2020-04-28T18:17:56Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:KS","Chicken Thighs","environmental/other","PDS000021482.68",6,12,"SAMN14754901","GCA_014606625.1",,
"Campylobacter jejuni","19MN09CB30",,"2019-09-16",,,,"""19MN09CB30"",""SRS6767144""",,"PDT000756596.1","2020-06-03T20:13:38Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:MN","WINGS","environmental/other","PDS000021482.68",1,9,"SAMN15096501","GCA_013766025.1",,
"Campylobacter jejuni","19TX07CB15-C",,"2019-07",,,,"""19TX07CB15-C"",""CFSAN103533"",""SRS6857488""",,"PDT000767882.1","2020-06-17T16:14:11Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:TX","chicken leg","environmental/other","PDS000021482.68",5,8,"SAMN15297881","GCA_013685755.1",,
"Campylobacter jejuni","CVM N19C489",,"2019",,,,"""CVM N19C489"",""SRS7415242""",,"PDT000843479.1","2020-09-23T19:24:04Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:TX","Chicken Breasts","environmental/other","PDS000021482.68",3,11,"SAMN16231165","GCA_014721955.1",,
"Campylobacter jejuni","CVM N17C746",,"2017",,,,"""CVM N17C746"",""SRS3673065""",,"PDT000363492.1","2018-08-15T19:43:38Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:NM","Chicken Thighs","environmental/other","PDS000026244.78",4,4,"SAMN09783328","GCA_005363725.1","50S_L22_A103V=POINT,blaOXA-595=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C116",,"2018",,,,"""CVM N18C116"",""SRS4433446""",,"PDT000472934.1","2019-03-04T15:39:29Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:CO","chicken breast","environmental/other","PDS000026244.78",0,5,"SAMN11047655","GCA_004873385.1","50S_L22_A103V=POINT,blaOXA-595=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C157",,"2018",,,,"""CVM N18C157"",""SRS4433389""",,"PDT000472991.1","2019-03-04T15:39:40Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:IA","Chicken Legs","environmental/other","PDS000026244.78",1,2,"SAMN11047695","GCA_004873425.1","50S_L22_A103V=POINT,blaOXA-595=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","19TN04CB16N-C",,"2019-04-25",,,,"""19TN04CB16N-C"",""SRS5034874""",,"PDT000533678.1","2019-06-28T16:32:26Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:TN","chicken breast","environmental/other","PDS000026244.78",1,2,"SAMN12161670","GCA_006545865.1","50S_L22_A103V=POINT,blaOXA-595=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","19TN06CB18K-C1",,"2019-06-21",,,,"""19TN06CB18K-C1"",""SRS5107826""",,"PDT000544967.1","2019-07-17T13:31:31Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:TN","chicken breast","environmental/other","PDS000026244.78",3,4,"SAMN12289144","GCA_007470835.1","50S_L22_A103V=POINT,blaOXA-595=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","19TN11CB10N-C",,"2019-11-14",,,,"""19TN11CB10N-C"",""SRS5748715""",,"PDT000638602.1","2019-12-02T15:27:32Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,tetracycline=R","USA:TN","chicken breast","environmental/other","PDS000026244.78",4,4,"SAMN13442644","GCA_010281045.1","50S_L22_A103V=POINT,blaOXA-595=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N19C404",,"2019",,,,"""CVM N19C404"",""SRS6552240""",,"PDT000728867.2","2020-04-28T18:18:05Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,tetracycline=R","USA:PA","Chicken Breasts","environmental/other","PDS000026244.78",3,3,"SAMN14754884","GCA_014606355.1","50S_L22_A103V=POINT,blaOXA-595=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
