"organism_group","strain","collection_date","isolate","location","isolation_type","snp_cluster","min_same","min_diff","amr_genotypes","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
"Salmonella enterica","NY-33942",2003,"PDT000085281.2","USA:MD","environmental/other","PDS000050108.5",10,48,"blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Typhimurium","Typhimurium var. 5-","USA","chicken",1,"4:i:1,2",0,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
"Salmonella enterica","NY-33943",2003,"PDT000085282.2","USA:MD","environmental/other","PDS000050108.5",10,10,"blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Typhimurium","Typhimurium var. 5-","USA","chicken",0,"4:i:1,2",0,"1","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0"
"Salmonella enterica","NY-33949",2003,"PDT000085285.2","USA:MD","environmental/other","PDS000050108.5",1,39,"blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Typhimurium","Typhimurium var. 5-","USA","chicken",0,"4:i:1,2",0,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
"Salmonella enterica","NY-33950",2003,"PDT000085286.2","USA:MD","environmental/other","PDS000050108.5",1,12,"blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Typhimurium","Typhimurium var. 5-","USA","chicken",1,"4:i:1,2",0,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
"Salmonella enterica","NY-33951",2003,"PDT000094906.2","USA:MD","environmental/other","PDS000050108.5",1,63,"blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Typhimurium","Typhimurium var. 5-","USA","chicken",0,"4:i:1,2",0,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
"Salmonella enterica","VA-WGS-00443",2008,"PDT000095370.2","USA:MD","environmental/other","PDS000050108.5",4,20,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE","Typhimurium","Typhimurium var. 5-","USA","chicken",1,"4:i:1,2",0,"1","1","0","1","0","1","0","1","0","0","0","0","1","1","0","0"
"Salmonella enterica","NY-N19979",2009,"PDT000101813.2","USA:CA","environmental/other","PDS000050108.5",16,36,"blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Typhimurium","Typhimurium var. 5-","USA","chicken",0,"4:i:1,2",0,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
"Salmonella enterica","NY-N20082",2009,"PDT000105792.2","USA:GA","environmental/other","PDS000050108.5",12,40,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,blaCMY-2=COMPLETE,blaCMY=PARTIAL,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE","Typhimurium","Typhimurium var. 5-","USA","chicken",0,"4:i:1,2",0,"1","1","0","1","0","1","0","1","0","0","0","0","1","0","0","0"
"Salmonella enterica","FSIS1606773",2016,"PDT000134394.2","USA:PA","environmental/other","PDS000040475.18",24,26,"mdsA=COMPLETE,mdsB=COMPLETE","Cerro","Other","USA","beef",0,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","2014AM-0655",2018,"PDT000161197.2","USA","clinical","PDS000045989.14",39,28,"aac(3)-IId=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,bleO=PARTIAL,dfrA12=COMPLETE,floR=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE","Typhimurium","(Missing)","USA","(Missing)",0,"4:i:1,2",0,"1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","1"
"Salmonella enterica","2014AM-1433",2014,"PDT000161291.2","USA","clinical","PDS000045989.14",11,36,"aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,bleO=COMPLETE,floR=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,qnrB19=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE","Typhimurium","Typhimurium","USA","stool",0,"4:i:1,2",0,"1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","1"
"Salmonella enterica","FSIS1606186",2016,"PDT000125837.2","USA:MI","environmental/other","PDS000013847.26",1,5,"mdsA=COMPLETE,mdsB=COMPLETE","Typhimurium","Typhimurium","USA","beef",2,"4:i:1,2",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","19MN09PC01",2019,"PDT000604159.1","USA:MN","environmental/other","PDS000051779.20",0,1,"mdsA=COMPLETE,mdsB=COMPLETE","London","Other","USA","pork",2,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N56925F",2014,"PDT000121248.2","USA:MI","environmental/other","PDS000032563.13",18,39,"fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Derby","Other","USA","pork",0,"Other",0,"1","1","0","0","0","0","1","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","CVM N37937",2011,"PDT000135220.2","USA:NY","environmental/other","PDS000032563.13",5,33,"fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Derby","Other","USA","pork",1,"Other",0,"1","1","0","0","0","0","1","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","WAPHL-SAL-A00335",2002,"PDT000025522.4","USA:MD","environmental/other","PDS000032696.3",0,27,"mdsA=COMPLETE,mdsB=COMPLETE","Enteritidis","Enteritidis","USA","turkey",1,"9:g,m:-",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"Salmonella enterica","WAPHL-SAL-A00336",2002,"PDT000025523.4","USA:MD","environmental/other","PDS000032696.3",0,27,"mdsA=COMPLETE,mdsB=COMPLETE","Enteritidis","Enteritidis","USA","turkey",1,"9:g,m:-",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"Salmonella enterica","WAPHL-SAL-A00337",2002,"PDT000031419.4","USA:MD","environmental/other","PDS000032696.3",0,27,"mdsA=COMPLETE,mdsB=COMPLETE","Enteritidis","Enteritidis","USA","turkey",1,"9:g,m:-",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"Salmonella enterica","FSIS1607192",2016,"PDT000141543.2","USA:TX","environmental/other","PDS000032573.18",30,49,"mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","beef",0,"8:i:z6",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N57117F",2014,"PDT000121300.2","USA:ID","environmental/other","PDS000032562.12",23,16,"fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Derby","Other","USA","pork",0,"Other",0,"1","1","0","0","0","0","1","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","CVM N57621F",2014,"PDT000121450.2","USA:TX","environmental/other","PDS000032562.12",22,48,"fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Derby","Other","USA","pork",0,"Other",0,"1","1","0","0","0","0","1","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","CVM N57667F",2014,"PDT000121470.2","USA:GA","environmental/other","PDS000032562.12",18,44,"fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Derby","Other","USA","pork",0,"Other",0,"1","1","0","0","0","0","1","0","0","0","0","1","0","1","1","1"
"Salmonella enterica","CVM N18S0873",2018,"PDT000550406.1","USA:TX","environmental/other","PDS000028270.19",10,13,"aac(3)-IV=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaHER-3=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE","Anatum","Anatum","USA","turkey",0,"Other",0,"1","1","0","0","1","0","0","0","0","1","1","1","0","0","1","0"
"Salmonella enterica","CVM N18S2131",2018,"PDT000565722.1","USA:MO","environmental/other","PDS000028270.19",0,1,"mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Anatum","Anatum","USA","turkey",2,"Other",0,"1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","1"
"Salmonella enterica","CVM N18S2133",2018,"PDT000565726.1","USA:MO","environmental/other","PDS000028270.19",0,1,"mdsA=COMPLETE,mdsB=COMPLETE","Anatum","Anatum","USA","turkey",2,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","19CO04GT20-S1",2019,"PDT000604795.1","USA:CO","environmental/other","PDS000028270.19",2,4,"aac(3)-IV=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaHER-3=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,rmtB1=COMPLETE,tet(A)=COMPLETE,tet(B)=COMPLETE","Anatum","(Missing)","USA","turkey",2,"Other",0,"1","1","0","0","1","0","0","0","1","1","1","1","0","0","1","0"
"Salmonella enterica","WAPHL-SAL-A01074",2009,"PDT000111448.2","USA:NM","environmental/other","PDS000027271.17",0,18,"mdsA=COMPLETE,mdsB=COMPLETE","Give","Other","USA","beef",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N18S0678",2018,"PDT000518306.1","USA:MN","environmental/other","PDS000014912.19",0,7,"(Missing)","IIIa [1],13,23:g,z51:-","Other","USA","chicken",2,"Other",1,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","19OR02CB07-S1",2019,"PDT000519087.1","USA:OR","environmental/other","PDS000014912.19",0,5,"(Missing)","IIIa [1],13,23:g,z51:-","(Missing)","USA","chicken",2,"Other",1,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0068",2019,"PDT000565751.1","USA:SD","environmental/other","PDS000014912.19",0,5,"(Missing)","IIIa [1],13,23:g,z51:-","Other","USA","chicken",2,"Other",1,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0065",2019,"PDT000565754.1","USA:MO","environmental/other","PDS000014912.19",0,5,"(Missing)","IIIa [1],13,23:g,z51:-","Other","USA","chicken",2,"Other",1,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0019",2019,"PDT000565769.1","USA:CA","environmental/other","PDS000014912.19",1,6,"(Missing)","IIIa [1],13,23:g,z51:-","Other","USA","chicken",2,"Other",1,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0015",2019,"PDT000565773.1","USA:CA","environmental/other","PDS000014912.19",0,5,"(Missing)","IIIa [1],13,23:g,z51:-","Other","USA","chicken",2,"Other",1,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","WAPHL-SAL-A00277",2002,"PDT000004357.3","USA:MN","environmental/other","PDS000114063.1",0,18,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","FL-NRM051",2004,"PDT000031831.3","USA:MN","environmental/other","PDS000114063.1",7,33,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",0,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","WAPHL-SAL-A00411",2003,"PDT000032086.3","USA:TN","environmental/other","PDS000114063.1",0,21,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","WAPHL-SAL-A00412",2003,"PDT000033844.3","USA:TN","environmental/other","PDS000114063.1",0,6,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",2,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","NY-29479",2003,"PDT000035823.3","USA:TN","environmental/other","PDS000114063.1",0,16,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","WAPHL_SAL-A00434",2004,"PDT000036562.3","USA:OR","environmental/other","PDS000114063.1",3,3,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Saintpaul","USA","turkey",2,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","1","0","0","0"
"Salmonella enterica","NY-32998",2003,"PDT000044512.3","USA:CA","environmental/other","PDS000114063.1",7,14,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","NY-N11257",2006,"PDT000052489.2","USA:TN","environmental/other","PDS000114063.1",2,8,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",2,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
"Salmonella enterica","NY-N11258",2006,"PDT000052490.2","USA:TN","environmental/other","PDS000114063.1",4,19,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
"Salmonella enterica","NY-N13197",2007,"PDT000060530.2","USA:MN","environmental/other","PDS000114063.1",1,12,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
"Salmonella enterica","NY-N13195",2007,"PDT000060730.2","USA:MN","environmental/other","PDS000114063.1",1,12,"aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
"Salmonella enterica","NY-N14208",2007,"PDT000065390.2","USA:GA","environmental/other","PDS000114063.1",3,6,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","1","1","0","0","1","1","1","0","0","0","0","0"
"Salmonella enterica","FL-NRM206",2005,"PDT000067414.2","USA:NM","environmental/other","PDS000114063.1",10,20,"mdsA=COMPLETE,mdsB=COMPLETE","I -:-:-","Hadar","USA","turkey",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","NY-N14647",2007,"PDT000069499.2","USA:GA","environmental/other","PDS000114063.1",3,3,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","NY-N14654",2007,"PDT000069818.2","USA:MN","environmental/other","PDS000114063.1",3,6,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",0,"8:z10:e,n,x",0,"1","1","0","1","1","1","0","0","1","1","1","0","0","0","0","0"
"Salmonella enterica","CVM-N15759",2007,"PDT000085026.2","USA:GA","environmental/other","PDS000114063.1",2,44,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","CVM-N15749",2007,"PDT000085027.2","USA:CO","environmental/other","PDS000114063.1",3,2,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","1","1","0","0","1","1","1","0","0","0","0","0"
"Salmonella enterica","CVM-N15761",2007,"PDT000085173.2","USA:GA","environmental/other","PDS000114063.1",2,22,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
"Salmonella enterica","CVM-N15762",2007,"PDT000085174.2","USA:GA","environmental/other","PDS000114063.1",1,1,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaHER-3=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0"
"Salmonella enterica","CVM-N15763",2007,"PDT000085176.2","USA:GA","environmental/other","PDS000114063.1",8,37,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",0,"8:z10:e,n,x",0,"1","1","0","1","1","1","0","0","1","1","1","0","0","0","0","0"
"Salmonella enterica","CVM-N15758",2007,"PDT000085180.2","USA:GA","environmental/other","PDS000114063.1",3,15,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaHER-3=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",0,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0"
"Salmonella enterica","VA-WGS-00560",2008,"PDT000086853.2","USA:NM","environmental/other","PDS000114063.1",1,5,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0"
"Salmonella enterica","VA-WGS-00507",2008,"PDT000094707.2","USA:GA","environmental/other","PDS000114063.1",3,7,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,blaHER-3=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0"
"Salmonella enterica","NY-N20044",2009,"PDT000103269.2","USA:CT","environmental/other","PDS000114063.1",12,26,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",0,"8:z10:e,n,x",0,"1","1","0","0","1","0","0","0","1","1","1","0","0","0","1","0"
"Salmonella enterica","NY-N20113",2009,"PDT000110741.2","USA:GA","environmental/other","PDS000114063.1",6,8,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
"Salmonella enterica","WAPHL_SAL-A00769",2006,"PDT000134333.2","USA:MN","environmental/other","PDS000114063.1",4,27,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","NY-N14209",2007,"PDT000137144.2","USA:GA","environmental/other","PDS000114063.1",4,35,"aac(3)-VIa=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",0,"8:z10:e,n,x",0,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
"Salmonella enterica","CVM N16S181",2016,"PDT000269415.2","USA:NM","environmental/other","PDS000114063.1",6,1,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Hadar","Hadar","USA","turkey",1,"8:z10:e,n,x",0,"1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1"
"Salmonella enterica","CVM N18S0616",2018,"PDT000518342.1","USA:TX","environmental/other","PDS000015874.31",0,7,"blaTEM-1=COMPLETE,blaTEM=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",2,"8:i:z6",0,"1","1","0","0","1","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1606958",2016,"PDT000136434.2","USA:FL","environmental/other","PDS000030207.9",3,30,"mdsA=COMPLETE,mdsB=COMPLETE","Anatum","Anatum","USA","pork",1,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1606513",2016,"PDT000129241.2","USA:GA","environmental/other","PDS000030291.25",9,16,"fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Agona","Other","USA","pork",0,"Other",0,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1607168",2016,"PDT000141564.2","USA:GA","environmental/other","PDS000030291.25",12,19,"fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Agona","Other","USA","pork",0,"Other",0,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N17S309",2017,"PDT000385773.1","USA:PA","environmental/other","PDS000030291.25",39,19,"aph(3')-Ia=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Agona","Other","USA","turkey",0,"Other",0,"1","1","0","0","0","0","1","0","0","0","0","0","1","0","1","1"
"Salmonella enterica","CVM N18S0640",2018,"PDT000518339.1","USA:NM","environmental/other","PDS000038748.20",36,25,"mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE","Muenchen","Other","USA","turkey",0,"Other",0,"1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","1"
"Salmonella enterica","CVM42234",2012,"PDT000019537.2","USA: MD","environmental/other","PDS000001539.18",26,56,"mdsA=COMPLETE,mdsB=COMPLETE","Cubana","Other","USA","other/unspecified",0,"Other",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","CVM N19S0588",2019,"PDT000593949.1","USA:KS","environmental/other","PDS000033060.27",2,20,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",1,"1","1","0","0","0","0","0","1","0","1","1","0","1","0","1","0"
"Salmonella enterica","CVM N19S0378",2019,"PDT000594093.1","USA:IA","environmental/other","PDS000033060.27",0,21,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",1,"1","1","0","0","0","0","0","1","0","1","1","0","1","0","1","0"
"Salmonella enterica","CVM N18S2081",2018,"PDT000602048.1","USA:MO","environmental/other","PDS000033060.27",4,12,"aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",1,"1","1","0","0","0","0","0","1","0","1","1","0","1","0","1","0"
"Salmonella enterica","VA-WGS-00474",2008,"PDT000101950.3","USA:CA","environmental/other","PDS000030905.12",11,13,"fosA7=PARTIAL,mdsA=COMPLETE,mdsB=COMPLETE","Montevideo","Other","USA","chicken",0,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
